Одеса,Харків,378
Київ,Полтава,692
Київ,Чернігів,119
Київ,Вінниця,645
Запоріжжя,Одеса,605
Львів,Харків,358
Луцьк,Харків,702
Ужгород,Кропивницький,258
Вінниця,Полтава,123
Миколаїв,Кропивницький,369
Рівне,Херсон,302
Дніпро,Львів,414
Чернігів,Запоріжжя,448
Житомир,Суми,183
Тернопіль,Вінниця,277
Львів,Чернігів,413
Дніпро,Запоріжжя,676
Чернігів,Ужгород,646
Рівне,Кропивницький,706
Чернівці,Житомир,421
Запоріжжя,Рівне,310
Херсон,Ужгород,621
Луцьк,Тернопіль,624
Дніпро,Полтава,468
Одеса,Миколаїв,274
Полтава,Івано-Франківськ,177
Ужгород,Івано-Франківськ,685
Чернівці,Вінниця,128
Житомир,Луцьк,630
Харків,Херсон,60
Рівне,Харків,377
Полтава,Тернопіль,199
Запоріжжя,Суми,642
Суми,Рівне,720
Ужгород,Чернігів,494
Київ,Харків,594
Полтава,Суми,226
Чернівці,Херсон,665
Чернігів,Тернопіль,468
Харків,Львів,249
Одеса,Рівне,704
Харків,Житомир,240
Ужгород,Рівне,224
Київ,Чернівці,414
Житомир,Херсон,154
Рівне,Харків,136
Херсон,Дніпро,702
Житомир,Тернопіль,87
Миколаїв,Харків,390
Житомир,Суми,315
Івано-Франківськ,Львів,147
Одеса,Полтава,677
Запоріжжя,Вінниця,552
Чернівці,Кропивницький,661
Херсон,Миколаїв,609
Рівне,Чернігів,413
Суми,Кропивницький,521
Харків,Дніпро,413
Вінниця,Чернігів,507
Суми,Київ,425
Кропивницький,Тернопіль,383
Луцьк,Рівне,309
Полтава,Херсон,69
Херсон,Чернівці,458
Львів,Одеса,689
Суми,Чернігів,283
Миколаїв,Суми,696
Полтава,Чернігів,635
Полтава,Житомир,486
Тернопіль,Дніпро,272
Харків,Житомир,497
Рівне,Миколаїв,154
Луцьк,Суми,309
Дніпро,Херсон,164
Житомир,Запоріжжя,398
Суми,Тернопіль,507
Рівне,Одеса,609
Київ,Дніпро,654
Одеса,Київ,414
Чернівці,Івано-Франківськ,714
Житомир,Рівне,77
Житомир,Івано-Франківськ,305
Ужгород,Івано-Франківськ,280
Кропивницький,Тернопіль,584
Житомир,Дніпро,120
Миколаїв,Рівне,550
Чернігів,Кропивницький,247
Запоріжжя,Житомир,407
Івано-Франківськ,Вінниця,361
Одеса,Суми,95
Рівне,Житомир,297
Харків,Суми,423
Чернігів,Ужгород,139
Житомир,Полтава,625
Запоріжжя,Суми,353
Миколаїв,Запоріжжя,176
Миколаїв,Дніпро,78
Дніпро,Київ,313
Чернігів,Одеса,678
Полтава,Харків,572
Івано-Франківськ,Харків,583
Запоріжжя,Луцьк,193
Миколаїв,Одеса,407
Запоріжжя,Житомир,73
Чернігів,Миколаїв,716
Запоріжжя,Житомир,513
Дніпро,Житомир,679
Рівне,Херсон,242
Вінниця,Одеса,260
Полтава,Запоріжжя,692
Вінниця,Луцьк,311
Миколаїв,Чернівці,681
Запоріжжя,Суми,153
Полтава,Запоріжжя,456
Житомир,Львів,681
Кропивницький,Тернопіль,462
Чернігів,Київ,484
Запоріжжя,Чернівці,478
Луцьк,Київ,715
Київ,Одеса,96
Чернігів,Чернівці,349
Ужгород,Київ,386
Суми,Івано-Франківськ,682
Запоріжжя,Чернігів,267
Запоріжжя,Івано-Франківськ,542
Луцьк,Харків,427
Чернігів,Чернівці,426
Рівне,Тернопіль,297
Тернопіль,Чернівці,124
Херсон,Київ,702
Львів,Київ,540
Луцьк,Полтава,473
Одеса,Чернівці,282
Вінниця,Полтава,325
Рівне,Луцьк,702
Дніпро,Одеса,182
Чернівці,Миколаїв,560
Запоріжжя,Луцьк,398
Херсон,Миколаїв,685
Херсон,Харків,339
Рівне,Львів,387
Чернігів,Вінниця,343
Харків,Полтава,147
Харків,Львів,96
Полтава,Суми,394
Житомир,Херсон,458
Миколаїв,Рівне,511
Вінниця,Одеса,165
Суми,Рівне,510
Львів,Запоріжжя,501
Київ,Рівне,184
Київ,Запоріжжя,564
Житомир,Суми,695
Львів,Київ,301
Кропивницький,Луцьк,310
Запоріжжя,Кропивницький,596
Одеса,Ужгород,325
Харків,Львів,326
Чернівці,Київ,116
Рівне,Житомир,518
Суми,Харків,246
Тернопіль,Миколаїв,110
Тернопіль,Житомир,63
Івано-Франківськ,Херсон,218
Житомир,Кропивницький,224
Херсон,Чернігів,151
Чернівці,Львів,93
Миколаїв,Одеса,482
Одеса,Чернівці,403
Харків,Київ,133
Рівне,Тернопіль,428
Запоріжжя,Тернопіль,543
Тернопіль,Вінниця,105
Луцьк,Запоріжжя,192
Миколаїв,Львів,190
Рівне,Дніпро,203
Кропивницький,Івано-Франківськ,471
Запоріжжя,Тернопіль,562
Чернівці,Чернігів,428
Миколаїв,Ужгород,327
Київ,Львів,716
Львів,Ужгород,690
Одеса,Миколаїв,351
Полтава,Ужгород,296
Чернівці,Рівне,279
Ужгород,Тернопіль,302
Луцьк,Чернівці,707
Херсон,Івано-Франківськ,423
Вінниця,Рівне,444
Вінниця,Рівне,104
Суми,Харків,372
Ужгород,Одеса,295
Дніпро,Івано-Франківськ,655
Полтава,Запоріжжя,440
Миколаїв,Запоріжжя,338
Рівне,Суми,364
Суми,Львів,572
Київ,Чернівці,372
Рівне,Дніпро,314
Житомир,Херсон,61
Рівне,Луцьк,371
Миколаїв,Вінниця,208
Херсон,Одеса,233
Херсон,Суми,596
Житомир,Рівне,430
Київ,Чернігів,393
Львів,Херсон,636
Луцьк,Херсон,152
Рівне,Херсон,238
Херсон,Івано-Франківськ,293
Чернівці,Київ,309
Чернівці,Луцьк,445
Суми,Херсон,283
Суми,Тернопіль,566
Житомир,Київ,65
Херсон,Одеса,453
Чернівці,Миколаїв,251
Рівне,Кропивницький,516
Херсон,Одеса,258
Рівне,Миколаїв,455
Херсон,Дніпро,125
Харків,Миколаїв,124
Рівне,Одеса,143
Дніпро,Харків,414
Миколаїв,Вінниця,634
Київ,Полтава,705
Запоріжжя,Миколаїв,331
Суми,Миколаїв,360
Рівне,Львів,581
Запоріжжя,Кропивницький,197
Львів,Дніпро,704
Київ,Ужгород,704
Кропивницький,Полтава,551
Харків,Івано-Франківськ,169
Київ,Харків,126
Херсон,Вінниця,341
Кропивницький,Рівне,454
Луцьк,Полтава,331
Житомир,Львів,198
Житомир,Одеса,414
Запоріжжя,Житомир,566
Одеса,Полтава,275
Суми,Рівне,376
Дніпро,Івано-Франківськ,617
Житомир,Чернігів,711
Чернігів,Запоріжжя,291
Ужгород,Київ,270
Одеса,Херсон,234
Тернопіль,Кропивницький,317
Рівне,Івано-Франківськ,539
Житомир,Київ,503
Рівне,Тернопіль,191
Харків,Луцьк,362
Запоріжжя,Тернопіль,537
Харків,Кропивницький,287
Івано-Франківськ,Кропивницький,93
Суми,Одеса,594
Ужгород,Житомир,711
Чернівці,Одеса,599
Житомир,Полтава,418
Запоріжжя,Вінниця,433
Луцьк,Чернівці,533
Вінниця,Чернівці,433
Суми,Житомир,571
Івано-Франківськ,Ужгород,615
Полтава,Ужгород,455
Вінниця,Житомир,688
Житомир,Івано-Франківськ,290
Кропивницький,Львів,332
Вінниця,Херсон,201
Чернівці,Харків,469
Івано-Франківськ,Київ,355
Житомир,Харків,293
Кропивницький,Рівне,96
Кропивницький,Івано-Франківськ,357
Суми,Рівне,693
Луцьк,Тернопіль,94
Житомир,Чернівці,514
Луцьк,Миколаїв,636
Тернопіль,Миколаїв,171
Кропивницький,Івано-Франківськ,200
Херсон,Миколаїв,254
Запоріжжя,Житомир,403
Херсон,Суми,659
Чернівці,Тернопіль,506
Івано-Франківськ,Суми,182
Вінниця,Харків,134
Миколаїв,Кропивницький,334
Вінниця,Чернівці,68
Луцьк,Миколаїв,496
Чернігів,Кропивницький,120
Київ,Полтава,596
Дніпро,Івано-Франківськ,321
Київ,Луцьк,699
Луцьк,Ужгород,691
Суми,Кропивницький,679
Житомир,Суми,290
Чернігів,Кропивницький,454
Вінниця,Суми,436
Херсон,Чернігів,260
Ужгород,Миколаїв,535
Івано-Франківськ,Рівне,158
Ужгород,Івано-Франківськ,475
Вінниця,Запоріжжя,217
Житомир,Луцьк,527
Ужгород,Суми,625
Суми,Миколаїв,574
Дніпро,Вінниця,622
Харків,Полтава,427
Запоріжжя,Одеса,256
Чернівці,Вінниця,379
Чернігів,Кропивницький,672
Суми,Харків,426
Житомир,Херсон,216
Вінниця,Запоріжжя,646
Запоріжжя,Чернівці,164
Кропивницький,Львів,391
Луцьк,Вінниця,634
Харків,Чернівці,675
Херсон,Дніпро,714
Одеса,Суми,376
Полтава,Ужгород,509
Ужгород,Одеса,668
Полтава,Житомир,538
Херсон,Полтава,481
Рівне,Суми,341
Суми,Полтава,688
Суми,Дніпро,137
Рівне,Ужгород,323
Суми,Харків,649
Луцьк,Житомир,345
Кропивницький,Ужгород,346
Миколаїв,Харків,277
Суми,Рівне,453
Львів,Вінниця,652
Чернівці,Луцьк,111
Житомир,Запоріжжя,214
Вінниця,Херсон,221
Чернівці,Ужгород,558
Дніпро,Ужгород,62
Тернопіль,Дніпро,362
Одеса,Луцьк,305
Суми,Ужгород,381
Суми,Львів,687
Дніпро,Луцьк,62
Івано-Франківськ,Львів,97
